A1BG	8.0	4.0	5.0	2.0	11.0	6.0	6.0	7.0	12.0	5.0	9.0	6.0	6.0	2.0	11.0	5.0	14.0	11.0
A1BG-AS1	2.0	6.0	11.0	5.0	12.0	14.0	11.0	5.0	2.0	2.0	12.0	10.0	9.0	13.0	12.0	13.0	8.0	13.0
A1CF	8.0	9.0	3.0	13.0	14.0	14.0	11.0	4.0	8.0	6.0	14.0	7.0	4.0	13.0	12.0	10.0	8.0	5.0
A2M	11.0	12.0	2.0	12.0	8.0	8.0	9.0	11.0	9.0	14.0	9.0	2.0	10.0	2.0	3.0	5.0	3.0	10.0
A2M-AS1	2.0	9.0	5.0	3.0	13.0	10.0	12.0	5.0	10.0	11.0	2.0	12.0	14.0	4.0	4.0	3.0	8.0	4.0
A2ML1	10.0	14.0	14.0	3.0	11.0	3.0	2.0	9.0	2.0	11.0	13.0	13.0	11.0	11.0	6.0	12.0	12.0	13.0
A2ML1-AS1	5.0	8.0	13.0	7.0	3.0	2.0	2.0	9.0	6.0	5.0	4.0	13.0	8.0	10.0	5.0	9.0	13.0	3.0
A2ML1-AS2	8.0	3.0	6.0	12.0	8.0	3.0	7.0	11.0	10.0	14.0	2.0	6.0	6.0	14.0	10.0	6.0	3.0	14.0
A2MP1	8.0	6.0	13.0	3.0	6.0	12.0	3.0	5.0	5.0	12.0	3.0	12.0	12.0	3.0	14.0	7.0	6.0	10.0
A3GALT2	13.0	9.0	2.0	12.0	2.0	3.0	5.0	9.0	7.0	3.0	4.0	2.0	6.0	11.0	7.0	6.0	11.0	10.0
A4GALT	6.0	12.0	3.0	3.0	7.0	5.0	6.0	7.0	3.0	6.0	7.0	6.0	7.0	14.0	9.0	7.0	12.0	13.0
A4GNT	13.0	13.0	2.0	9.0	11.0	8.0	11.0	12.0	6.0	5.0	10.0	5.0	7.0	7.0	12.0	9.0	9.0	3.0
AAAS	7.0	14.0	2.0	9.0	3.0	6.0	4.0	14.0	6.0	5.0	11.0	9.0	9.0	4.0	13.0	8.0	2.0	14.0
AACS	7.0	12.0	2.0	13.0	13.0	3.0	8.0	3.0	13.0	11.0	2.0	3.0	14.0	5.0	2.0	11.0	14.0	9.0
AACSP1	11.0	10.0	5.0	14.0	3.0	7.0	5.0	5.0	9.0	4.0	8.0	6.0	8.0	2.0	4.0	3.0	12.0	13.0
AADAC	5.0	4.0	12.0	14.0	7.0	6.0	3.0	10.0	5.0	3.0	5.0	13.0	9.0	3.0	8.0	9.0	13.0	3.0
AADACL2	14.0	7.0	5.0	8.0	7.0	10.0	12.0	7.0	12.0	11.0	10.0	6.0	7.0	13.0	11.0	3.0	13.0	9.0
AADACL2-AS1	11.0	3.0	6.0	10.0	7.0	8.0	6.0	9.0	7.0	5.0	7.0	5.0	4.0	4.0	3.0	3.0	12.0	14.0
AADACL3	2.0	2.0	6.0	3.0	9.0	13.0	5.0	4.0	4.0	2.0	7.0	2.0	4.0	7.0	12.0	6.0	2.0	13.0
AADACL4	9.0	13.0	13.0	9.0	3.0	5.0	13.0	8.0	11.0	7.0	12.0	9.0	13.0	7.0	14.0	2.0	5.0	4.0
AADACP1	14.0	11.0	12.0	11.0	8.0	10.0	13.0	9.0	5.0	11.0	5.0	5.0	2.0	13.0	6.0	10.0	4.0	4.0
AADAT	13.0	4.0	4.0	7.0	9.0	5.0	14.0	10.0	8.0	14.0	14.0	10.0	8.0	7.0	9.0	14.0	14.0	6.0
AAGAB	7.0	3.0	8.0	5.0	12.0	11.0	7.0	4.0	10.0	2.0	5.0	3.0	8.0	14.0	14.0	2.0	9.0	5.0
AAK1	4.0	6.0	8.0	4.0	8.0	14.0	13.0	8.0	14.0	14.0	13.0	9.0	12.0	11.0	7.0	5.0	3.0	2.0
AAMDC	13.0	10.0	13.0	13.0	9.0	14.0	3.0	8.0	13.0	12.0	10.0	5.0	10.0	6.0	2.0	13.0	2.0	9.0
AAMP	9.0	12.0	4.0	7.0	10.0	11.0	11.0	8.0	2.0	5.0	2.0	2.0	5.0	5.0	3.0	6.0	9.0	13.0
AANAT	14.0	10.0	14.0	6.0	2.0	12.0	12.0	12.0	8.0	5.0	2.0	3.0	13.0	12.0	6.0	3.0	6.0	11.0
AAR2	4.0	5.0	5.0	14.0	9.0	11.0	11.0	2.0	3.0	13.0	5.0	9.0	13.0	13.0	9.0	12.0	12.0	11.0
AARD	14.0	13.0	12.0	11.0	13.0	6.0	6.0	4.0	5.0	10.0	7.0	2.0	5.0	11.0	10.0	11.0	6.0	13.0
AARS	5.0	3.0	9.0	9.0	3.0	6.0	13.0	14.0	11.0	13.0	8.0	9.0	9.0	7.0	14.0	12.0	2.0	13.0
AARS2	12.0	2.0	14.0	14.0	4.0	4.0	5.0	4.0	2.0	8.0	11.0	9.0	10.0	2.0	9.0	5.0	7.0	11.0
AARSD1	7.0	12.0	12.0	4.0	8.0	3.0	11.0	2.0	9.0	6.0	7.0	11.0	2.0	5.0	14.0	2.0	5.0	6.0
AARSP1	2.0	7.0	13.0	12.0	3.0	9.0	2.0	14.0	14.0	3.0	10.0	14.0	11.0	13.0	9.0	4.0	8.0	6.0
AASDH	3.0	9.0	5.0	3.0	5.0	13.0	14.0	14.0	10.0	6.0	14.0	13.0	4.0	14.0	9.0	13.0	7.0	2.0
